data_source,scale,resolution_id,component,n_units,R2_Nagelkerke_percentage_mean,R2_Nagelkerke_percentage_median,R2_Nagelkerke_percentage_lwr_95,R2_Nagelkerke_percentage_upr_95,auc_mean_mean,auc_mean_median,auc_mean_lwr_95,auc_mean_upr_95,auc_n
paleo,local,family,Abiotic,54,51.53535690335438,51.07161657919312,44.70648762057398,61.35754668911568,0.9033219393872733,0.9008432229639627,0.8446447202579896,0.9517960509326056,410
paleo,local,family,Associations,54,16.25685869807525,17.006005832824705,1.8269608046268941,25.28670283680824,0.9033219393872733,0.9008432229639627,0.8446447202579896,0.9517960509326056,410
paleo,local,family,Spatial,54,32.20778439857037,31.507599294505535,21.65275470324824,43.84787941094051,0.9033219393872733,0.9008432229639627,0.8446447202579896,0.9517960509326056,410
paleo,local,functional_type,Abiotic,12,58.7921683179078,60.85003708486109,47.88781293355132,67.36350047435702,0.9277180312064885,0.9289167487229155,0.879561971473898,0.9614124022241304,41
paleo,local,functional_type,Associations,12,5.9737700795844,5.06198254961029,2.5150316551369007,11.300622912338818,0.9277180312064885,0.9289167487229155,0.879561971473898,0.9614124022241304,41
paleo,local,functional_type,Spatial,12,35.2340616025078,36.09315881396235,24.4326601740767,44.77103187382229,0.9277180312064885,0.9289167487229155,0.879561971473898,0.9614124022241304,41
paleo,local,genus,Abiotic,55,45.8443750099211,45.597277031890066,38.19187216041115,57.01998083816336,0.9135631964625593,0.9161141087657584,0.8681150364006065,0.9605154668230986,720
paleo,local,genus,Associations,55,23.896995010875106,25.49795570468528,8.639784184339096,31.637947590450345,0.9135631964625593,0.9161141087657584,0.8681150364006065,0.9605154668230986,720
paleo,local,genus,Spatial,55,30.258629979203793,29.053980687368234,22.236200767538087,43.433186699392266,0.9135631964625593,0.9161141087657584,0.8681150364006065,0.9605154668230986,720
paleo,regional,family,Abiotic,15,42.309337450820934,44.72463821555546,13.048935224220294,53.997415574226274,0.8483100008878993,0.884273437774068,0.5629591144476004,0.9519631788111194,197
paleo,regional,family,Associations,15,23.259180625663458,23.758100036411143,9.758070953153137,48.059333372747076,0.8483100008878993,0.884273437774068,0.5629591144476004,0.9519631788111194,197
paleo,regional,family,Spatial,15,34.43148192351561,36.98082021141401,20.942937945283493,44.574287123132265,0.8483100008878993,0.884273437774068,0.5629591144476004,0.9519631788111194,197
paleo,regional,functional_type,Abiotic,6,50.11092760209176,57.046600851647355,15.461685897793359,66.19701845264848,0.8739372314314424,0.9319186204988115,0.6159500964319429,0.9565301790242484,26
paleo,regional,functional_type,Associations,6,12.80310792524834,7.714123270142759,1.979826432207172,40.239494718762934,0.8739372314314424,0.9319186204988115,0.6159500964319429,0.9565301790242484,26
paleo,regional,functional_type,Spatial,6,37.085964472659896,35.01778032155576,27.07437093826447,52.01785166503394,0.8739372314314424,0.9319186204988115,0.6159500964319429,0.9565301790242484,26
paleo,regional,genus,Abiotic,18,42.28652051756056,42.75261442085914,16.648984838396814,59.109227080291646,0.8708243026775281,0.8958431977885126,0.5711594305569997,0.9759592048950534,341
paleo,regional,genus,Associations,18,26.090680161082226,26.362973373240948,7.362172360829884,50.026559839969316,0.8708243026775281,0.8958431977885126,0.5711594305569997,0.9759592048950534,341
paleo,regional,genus,Spatial,18,31.62279932135721,33.194004722517164,20.61304527499751,40.29288297724206,0.8708243026775281,0.8958431977885126,0.5711594305569997,0.9759592048950534,341
paleo,continental,family,Abiotic,2,49.609638305909996,49.609638305909996,44.868717425953,54.350559185867,0.8877890806034086,0.8877890806034086,0.8804687895243111,0.895109371682506,67
paleo,continental,family,Associations,2,26.283903412790792,26.283903412790792,24.708146732612185,27.8596600929694,0.8877890806034086,0.8877890806034086,0.8804687895243111,0.895109371682506,67
paleo,continental,family,Spatial,2,24.106458281299204,24.106458281299204,20.941294081520812,27.271622481077596,0.8877890806034086,0.8877890806034086,0.8804687895243111,0.895109371682506,67
paleo,continental,functional_type,Abiotic,3,51.5192168852732,51.994877094693635,42.2158250332651,60.41829755927395,0.9133076553409388,0.9083857733425638,0.9047782346646115,0.9260206757158851,21
paleo,continental,functional_type,Associations,3,8.581375188171403,8.321737332521485,5.554995452724786,11.828447100920451,0.9133076553409388,0.9083857733425638,0.9047782346646115,0.9260206757158851,21
paleo,continental,functional_type,Spatial,3,39.89940792655539,39.68338557278487,34.02670698800127,45.95572786581445,0.9133076553409388,0.9083857733425638,0.9047782346646115,0.9260206757158851,21
paleo,continental,genus,Abiotic,3,42.455699478842384,41.99558610863855,39.22201498738727,46.080480334970765,0.8927510988534352,0.8837554621605713,0.8796279193205185,0.9135205695752859,123
paleo,continental,genus,Associations,3,27.31794017340094,32.7162694259433,16.794553395153585,33.25274708698729,0.8927510988534352,0.8837554621605713,0.8796279193205185,0.9135205695752859,123
paleo,continental,genus,Spatial,3,30.22636034775667,27.642979686688978,21.32099200014948,41.32760225727141,0.8927510988534352,0.8837554621605713,0.8796279193205185,0.9135205695752859,123
