data_source_id,trait_domain_name,n_records,n_taxa,n_datasets,n_trait_names,value_minimum,value_lwr_25,value_median,value_upr_75,value_maximum,n_shared_taxa,ratio_lwr_25,ratio_median,ratio_upr_75,nearest_power_of_ten_ratio,factor_relative_error,fraction_within_factor_two,fraction_within_25_percent,data_source_desc,absolute_log10_ratio,scale_cluster_strength
297,Leaf mass per area,45594,3291,2064,1,3.5897812499914106e-4,0.003772161448509996,0.005760000000036864,0.008582973233225075,0.21999999999779998,2042,2.7655138716980145,8.103697481992318,10.377209494293405,10,0.18963025180076815,0.60871694417238,0.37561214495592554,The Global Leaf Traits,0.9086832200677124,strong
541,Leaf mass per area,719,401,80,1,0.016445693502906106,0.058976396634026665,0.0847457627118644,0.12903762903762905,0.78125,361,0.09999999999999999,0.100011430236204,0.2268820100052482,0.1,1.1430236203993638e-4,0.7119113573407202,0.5983379501385041,Maire V,0.9999503619517166,strong
208,Leaf mass per area,571,152,26,1,0.02178649237472767,0.05819040537227638,0.07818608287724786,0.12309999999769845,0.8264462809917356,152,0.09999999999999999,0.1300240577255278,0.437030380639796,0.1,0.300240577255278,0.5657894736842105,0.375,Leaf Physiology Database,0.8859762848408559,strong
243,Leaf mass per area,110,110,1,1,0.001487802877563361,0.006325193785049652,0.008785288937754722,0.023019285861450425,0.05035388118456908,101,5.255438477565057,5.649945170170608,7.749526496655153,10,0.4350054829829392,0.7821782178217822,0.2376237623762376,Niwot Alpine Plant Traits,0.7520442332339711,strong
579,Leaf mass per area,879,69,19,1,0.010869565219754254,0.05653269738930784,0.0682492581744138,0.08194964706544403,0.24229691877090054,60,0.09999999999368529,0.10205510773763836,0.5585839147281351,0.1,0.020551077376383536,0.6333333333333333,0.55,Benjamin Blonder,0.9911652544779478,strong
558,Leaf mass per area,54,54,1,1,0.022253872173758234,0.04009171089846858,0.07007326459383917,0.09996012373498447,0.2240143369175627,50,0.1022420804184247,0.12759139006659603,0.18631073833220602,0.1,0.2759139006659603,0.78,0.46,D.D. Ackerly,0.8941786310437532,strong
125,Leaf mass per area,214,54,19,1,1.5849970289533463e-5,2.938198778145502e-5,4.7487950189716515e-5,6.483854456451112e-5,2.325710599540287e-4,49,157.11259239999976,669.009084914895,998.0542009582406,1000,0.33099091508510503,0.5510204081632653,0.3877551020408163,Ukraine Wetlands Plant Traits Database,2.8254320153786123,strong
600,Leaf mass per area,51,51,1,1,0.027608064867909215,0.0473338952337294,0.05635358493330553,0.06808061783276545,0.18619893494209214,48,0.09681980646315541,0.10000009907509608,0.46491484930727495,0.1,9.907509607165466e-7,0.6875,0.5833333333333334,Molinari MA,0.9999995697225379,strong
375,Leaf mass per area,914,47,14,1,0.018906144497982776,0.05708968451010148,0.07158822031324771,0.09333370241933607,4.361702121627433,44,0.08192656617145866,0.1106744335421551,0.3152309185949805,0.1,0.10674433542155096,0.6590909090909091,0.4090909090909091,SW Michigan restored prairies,0.9559526921649792,strong
346,Leaf mass per area,155,39,12,1,33.333333333333336,58.8235294117647,71.42857142857143,111.11111111111111,333.3333333333333,38,2.513292879653404e-4,7.499620897133344e-4,9.710789460485053e-4,0.001,0.25003791028666567,0.631578947368421,0.5,"A Global Data Set of Leaf Photosynthetic Rates, Leaf N and P, and Specific Leaf Area",3.1249606894675392,strong
556,Leaf mass per area,2031,35,1,1,0.012282598015132162,0.035059359381688644,0.04182215796479996,0.05210438031586698,0.13016240363101042,35,0.10025229863171153,0.13470905413452322,0.29001221817584527,0.1,0.34709054134523215,0.6285714285714286,0.4857142857142857,Spasojevic MJ,0.8706032132709737,strong
423,Leaf mass per area,724,27,1,1,0.002263023056974485,0.0041491580929021755,0.0051481172607764115,0.006936645829987809,0.015597484275709346,27,7.6340882676023085,9.312535590054672,11.783658889285292,10,0.06874644099453278,0.8888888888888888,0.6296296296296297,Aboveground morphological traits of grassland species,0.9690679455184775,strong
486,Leaf mass per area,33,33,1,1,0.0012836522776108984,0.003597339930636743,0.0046010868266641875,0.00623528543622782,0.011395629975128834,26,7.1233426445521335,9.503232500115288,11.348495064113422,10,0.04967674998847116,0.7692307692307693,0.5,"Plant traits from Greby, Oeland, Sweden",0.9778713545705926,strong
292,Leaf mass per area,25,25,2,1,31.000000000000036,55.099999999999895,67.10000000000008,77.90000000000005,222.9999999999998,25,2.530853157320401e-4,6.743267529850815e-4,7.519657554281918e-4,0.001,0.32567324701491857,0.72,0.28,Onoda 2017 leaf dataset,3.171129609946206,strong
333,Leaf mass per area,2505,23,1,1,3.785714285660204e-4,0.003484320557491289,0.004503201817471359,0.006430868167202572,0.4354515049951683,19,2.0849922617987993,8.17783648679798,10.143516887171863,10,0.18221635132020192,0.5789473684210527,0.5263157894736842,Functional traits and phylogenetics help explain coastal grassland restoration planting survival and,0.9126384227270857,strong
601,Leaf mass per area,134,11,10,1,0.014850632339925035,0.02369800826097749,0.030991440779011566,0.04146659036814039,0.12144323136150008,11,0.1,0.1,0.3677718741027151,0.1,0,0.7272727272727273,0.7272727272727273,Sessa EB,1,strong
526,Leaf mass per area,67,8,1,1,0.012363359741689397,0.018104685448912902,0.024197979259564493,0.029095059742938627,0.04059558747690884,8,0.12116820767064768,0.1540413888332629,0.7973459293192957,0.1,0.5404138883326289,0.625,0.25,Trillium Trail Forest Wildflower Carbon Gain Phenology,0.8123625744435982,strong
505,Leaf mass per area,1738,8,38,1,3.831417624521073e-4,0.002631578947368421,0.0035479733467172446,0.00532894358958108,0.1795918367346938,7,1.6581856672689976,8.717194398648628,12.867375412792455,10,0.1282805601351372,0.5714285714285714,0.2857142857142857,MARGINS - leaf traits database,0.940376731120345,strong
398,Leaf mass per area,339,5,1,1,0.1592221050187069,0.21185253909378055,0.24958035459346514,0.4789048926853232,0.7392928914704808,5,0.07586055452946053,0.1526733933489963,0.16834551488824304,0.1,0.5267339334899629,1,0.2,Growth and Herbivory of Juvenil Trees,0.816236641584834,strong
404,Leaf mass per area,69,6,5,1,0.09230453659703945,0.13248393279963916,0.15272055689728645,0.2138386659364123,0.43757093934655383,5,0.09999999999971891,0.1,0.1000000000000601,0.1,0,0.8,0.8,Plant Functional Traits From the Province of Almeria (Spain),1,strong
213,Leaf nitrogen content per unit mass,411,367,1,1,8.82,17.04,22.23,30.345,61.35,364,0.09999999999999999,0.1,0.1,0.1,0,0.9313186813186813,0.8598901098901099,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",1,strong
541,Leaf nitrogen content per unit mass,665,384,71,1,6.8,13.9,19.4088588,25.3,58.2,343,0.09999999999999999,0.1,0.1157853342586167,0.1,0,0.8629737609329446,0.793002915451895,Maire V,1,strong
208,Leaf nitrogen content per unit mass,584,149,26,1,7.1,13.075,19.5,26.3,63.6,146,0.09999999999999999,0.10972146734681848,0.1832777777777778,0.1,0.09721467346818474,0.7465753424657534,0.6095890410958904,Leaf Physiology Database,0.9597083930437649,strong
210,Leaf nitrogen content per unit mass,189,135,28,1,6.1,11.9,17.13125,21.5,53.6,134,0.1,0.1104389885809107,0.4157827755160916,0.1,0.10438988580910691,0.746268656716418,0.6567164179104478,Global Respiration Database,0.9568775793574824,strong
155,Leaf nitrogen content per unit mass,1150,195,65,1,6.26,16.2,22.384999999999998,29.345,69.3,131,0.08958686244350235,0.10187742746661567,0.13418612645714617,0.1,0.018774274666156637,0.8625954198473282,0.6564885496183206,Tundra Trait Team,0.9919220300527396,strong
121,Leaf nitrogen content per unit mass,282,105,48,1,8.42419821538625,17.14847972510015,22.110184828136248,28.578037292300472,59.1282803118388,104,0.09078263191685712,0.10003347095545831,0.1259397562090175,0.1,3.3470955458303475e-4,0.8653846153846154,0.6730769230769231,The Netherlands Plant Traits Database,0.9998546618090882,strong
224,Leaf nitrogen content per unit mass,114,113,61,1,10.66,20.465,25.165,30.7975,53.34,94,0.09999999999999999,0.1,0.11102673389432582,0.1,0,0.851063829787234,0.7340425531914894,Altitudinal Vicariants Spain,1,strong
157,Leaf nitrogen content per unit mass,157,103,11,1,8.84,13.48,17.23,21.61,40.5,82,0.09410586624752826,0.1030836757341454,0.13719277972266058,0.1,0.030836757341453913,0.8536585365853658,0.6341463414634146,BROT 2.0,0.9868101038716685,strong
311,Leaf nitrogen content per unit mass,1487,60,1,1,9.22937085168479,18.9696838724554,24.4,32.67724060012455,57.7524547255907,54,0.10384041441741226,0.1302613645670542,0.4301554666618276,0.1,0.30261364567054194,0.7037037037037037,0.4074074074074074,Jena Experiment Traits,0.885184376639153,strong
558,Leaf nitrogen content per unit mass,53,53,1,1,10.05,14.46,17.45,21.94,33.64,50,0.0995850622406639,0.09981850806049841,0.11561659073298863,0.1,0.0018149193950159348,0.9,0.78,D.D. Ackerly,1.0007889256133053,strong
624,Leaf nitrogen content per unit mass,560,120,14,1,8.246,19.45025,26.930500000000002,34.04225,102,47,0.05876023017282074,0.08279333797461577,0.10474642183660865,0.1,0.17206662025384234,0.7021276595744681,0.3829787234042553,Cyrille Violle/Brian Enquist ,1.082004607626527,strong
543,Leaf nitrogen content per unit mass,74,39,9,1,10.8,16.125,19.9,25.550000000000004,36.5,38,0.09719639303315959,0.10116238909345367,0.3459729842736233,0.1,0.011623890934536613,0.7105263157894737,0.7105263157894737,de la Riva EG,0.9949809227256979,strong
313,Leaf nitrogen content per unit mass,1345,39,2,1,4.221,13.999895,17.89536,21.678,37.87146,31,0.09822943870872267,0.11623114950883547,0.4561682975726053,0.1,0.1623114950883546,0.6774193548387096,0.4838709677419355,Mediterranean mixed forest,0.9346774670669891,strong
344,Leaf nitrogen content per unit mass,256,37,50,1,13.46457184,19.919632815,23.773639985,27.96398112,46.6077404,28,0.09813406593603836,0.12215275068863657,0.16577562822736866,0.1,0.22152750688636563,0.7857142857142857,0.4642857142857143,Coastal grasslands invaded by Rosa rugosa (Belgium),0.9130967489488676,strong
294,Leaf nitrogen content per unit mass,454,20,48,1,0.864106667,1.6941999997500001,2.0082833334999997,2.386758333,4.025433333,19,1.383667588067512,6.056289406517699,9.16001112368068,10,0.3943710593482301,0.5789473684210527,0.21052631578947367,Trait and biomass data 2014 and 2015 of the BE_LOW project,0.7822066202322002,strong
611,Leaf nitrogen content per unit mass,20,20,1,1,13.78063833,19.5742955275,25.925489315,29.5767690075,60.832432,19,0.10421793998417873,0.11695750089871815,0.146276739701559,0.1,0.16957500898718142,0.8947368421052632,0.5789473684210527,Deraison H,0.9319719201185331,strong
206,Leaf nitrogen content per unit mass,45,28,4,1,0.58,0.92,1.01,1.197,2.4163,18,9.645730345202894,10,10,10,0,1,1,GLOPNET - Global Plant Trait Network Database,1,strong
154,Leaf nitrogen content per unit mass,526,15,5,1,0.00439,0.019143,0.0239,0.027475,0.0402,15,92.85591965703071,95.07990928074247,111.79713496403195,100,0.0492009071925753,0.9333333333333333,0.8,BAAD: a biomass and allometry database for woody plants,1.9780887586799147,strong
274,Leaf nitrogen content per unit mass,765,15,10,1,6.944,19.572,24.611,30.208,58.388,14,0.09719059292873768,0.1121567819001315,0.5037828621912535,0.1,0.12156781900131489,0.7142857142857143,0.6428571428571429,"Plant Traits from LTER Matsch (Mazia), Italy",0.9501744603533931,strong
