route_id,repeat_id,fold_id,component,loss_full,loss_reduced,delta_loss,delta_loss_clamped,share,defined
pooled_spatial_age_main,5,fold_003,Spatial,4.892793766777905,3.5133622932916126,-1.3794314734862927,0,NA,FALSE
pooled_spatial_age_main,5,fold_003,Associations,4.892793766777905,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,5,fold_004,Abiotic,3.6331236331187635,1.2772222100454818,-2.3559014230732815,0,NA,FALSE
pooled_spatial_age_main,5,fold_004,Spatial,3.6331236331187635,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,5,fold_004,Associations,3.6331236331187635,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,5,fold_005,Abiotic,5.447407362216647,1.3735785419803725,-4.073828820236274,0,NA,FALSE
pooled_spatial_age_main,5,fold_005,Spatial,5.447407362216647,NA,NA,NA,NA,FALSE
pooled_spatial_age_main,5,fold_005,Associations,5.447407362216647,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_001,Abiotic,6.196677751410262,1.453156730943414,-4.743521020466848,0,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_001,Spatial,6.196677751410262,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_001,Associations,6.196677751410262,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_002,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_002,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_002,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_003,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_003,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_003,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_004,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_004,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_004,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_005,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_005,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,1,fold_005,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_001,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_001,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_001,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_002,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_002,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_002,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_003,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_003,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_003,Associations,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_004,Abiotic,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_004,Spatial,NA,NA,NA,NA,NA,FALSE
pooled_spatiotemporal_age_main,2,fold_004,Associations,NA,NA,NA,NA,NA,FALSE
