route_id,repeat_id,fold_id,variant,status,error_message,warning_text,converged,linear_trend_slope,median_diff,epochs_run,early_stopping_triggered,loss,brier,auc,auc_macro,n_train_samples,n_test_samples,n_taxa_raw,n_taxa_retained,n_taxa_dropped
pooled_spatial_age_main,2,fold_003,no_associations,not_converged,NA,NA,FALSE,0.05,0.91,126,TRUE,6.5820242528116255,0.4764218113831138,0.523241671073506,0.5130681400551723,164,41,16,15,1
pooled_spatial_age_main,2,fold_004,full,ok,NA,NA,TRUE,0,0.34,500,FALSE,4.889998210502024,0.3551305416920014,0.6461805555555555,0.5444476578304945,164,41,16,16,0
pooled_spatial_age_main,2,fold_004,no_abiotic,ok,NA,NA,TRUE,0,0.01,357,TRUE,1.3743313467811549,0.10052220917764218,0.9013044294294295,0.5317511740209109,164,41,16,16,0
pooled_spatial_age_main,2,fold_004,no_spatial,not_converged,NA,NA,FALSE,0.02,0.5,500,FALSE,5.012335260353697,0.36280415244002434,0.631006006006006,0.5249624750858304,164,41,16,16,0
pooled_spatial_age_main,2,fold_004,no_associations,not_converged,NA,NA,FALSE,0.11,0.68,268,TRUE,7.223659198746062,0.5228648079278292,0.47676426426426427,0.4146460960194513,164,41,16,16,0
pooled_spatial_age_main,2,fold_005,full,ok,NA,NA,TRUE,0,0.02,500,FALSE,6.427605151166179,0.4665611814593571,0.5409334207999391,0.5356094379604441,164,41,16,16,0
pooled_spatial_age_main,2,fold_005,no_abiotic,ok,NA,NA,TRUE,0,0.01,297,TRUE,1.2335369252301227,0.09320315257515903,0.9161556525294011,0.5190563725490196,164,41,16,16,0
pooled_spatial_age_main,2,fold_005,no_spatial,not_converged,NA,NA,FALSE,0.01,0.16,500,FALSE,5.903530158381134,0.42938299381088146,0.5680005324054267,0.5092336081983915,164,41,16,16,0
pooled_spatial_age_main,2,fold_005,no_associations,not_converged,NA,NA,FALSE,0.07,0.39,134,TRUE,7.18293879878951,0.5203663844467219,0.4766834944810473,0.5099106555666153,164,41,16,16,0
pooled_spatial_age_main,3,fold_001,full,not_converged,NA,NA,FALSE,0.04,0.81,195,TRUE,6.185690819499564,0.44773429616824734,0.5528897523069451,0.5539914272483144,164,41,16,14,2
pooled_spatial_age_main,3,fold_001,no_abiotic,ok,NA,NA,TRUE,0,0.02,432,TRUE,1.9274437701272298,0.13989056746097478,0.8596102476930548,0.5201719576719577,164,41,16,14,2
pooled_spatial_age_main,3,fold_001,no_spatial,not_converged,NA,NA,FALSE,0.1,3.51,298,TRUE,6.546723299237544,0.47386664808462364,0.5262991743564838,0.5244905106283895,164,41,16,14,2
pooled_spatial_age_main,3,fold_001,no_associations,not_converged,NA,NA,FALSE,0.03,0.54,161,TRUE,6.426379139324867,0.4651558641124982,0.5351748421563866,0.5847133887659993,164,41,16,14,2
pooled_spatial_age_main,3,fold_002,full,ok,NA,NA,TRUE,0,0.56,500,FALSE,3.5189470300671064,0.25522574207988,0.7425295961817416,0.5817736929149973,164,41,16,16,0
pooled_spatial_age_main,3,fold_002,no_abiotic,ok,NA,NA,TRUE,0,0.01,403,TRUE,1.0557207010579068,0.07701475057172943,0.923962378924711,0.5251010026825245,164,41,16,16,0
pooled_spatial_age_main,3,fold_002,no_spatial,not_converged,NA,NA,FALSE,0.13,4.68,500,FALSE,3.5889208642584545,0.261423181827943,0.7440363108885873,0.5593460836738869,164,41,16,16,0
pooled_spatial_age_main,3,fold_002,no_associations,not_converged,NA,NA,FALSE,0.15,2.13,244,TRUE,6.341622523262268,0.45976596611586046,0.5372794908988817,0.5276768272692186,164,41,16,16,0
pooled_spatial_age_main,3,fold_003,full,not_converged,NA,NA,FALSE,0.04,0.79,162,TRUE,4.886835982423707,0.3538628242034236,0.6496575636055362,0.5956455882519167,164,41,16,16,0
pooled_spatial_age_main,3,fold_003,no_abiotic,ok,NA,NA,TRUE,0,0.04,297,TRUE,1.4041554304732071,0.10537350713365261,0.9041606736328739,0.5235650018258714,164,41,16,16,0
pooled_spatial_age_main,3,fold_003,no_spatial,not_converged,NA,NA,FALSE,0.02,0.55,167,TRUE,6.384571461743152,0.4630881923150527,0.5369821780669252,0.6011099751236262,164,41,16,16,0
