trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Diaspore mass,Festuca ovina,11,0.3103696970909091,0.268666667,0.19107690445583064,0.10833333299999995,2
Diaspore mass,Fimbristylis puberula,50,0.342333333,0.342333333,0,0,0
Diaspore mass,Galactia regularis,50,5.8688,5.8688,0,0,0
Diaspore mass,Galium virgatum,50,1.5884,1.5884,0,0,0
Diaspore mass,Glandularia canadensis,50,0.858933333,0.858933333,0,0,0
Diaspore mass,Grindelia lanceolata,50,4.601133333,4.601133333,0,0,0
Diaspore mass,Helianthemum salicifolium,11,0.18545454545454546,0.18,0.08176107097679633,0.09499999999999997,1
Diaspore mass,Helianthus hirsutus,50,3.84,3.84,0,0,0
Diaspore mass,Helianthus maximiliani,50,1.755866667,1.755866667,0,0,0
Diaspore mass,Helianthus occidentalis,51,2.2720915029411763,2.265533333,0.04683470125713284,0,0
Diaspore mass,Helictotrichon pratense,700,0.002560753514739229,0.0025,0.0010130267442059564,8.1e-4,61
Diaspore mass,Heliopsis helianthoides,52,1.7611298076923076,1.658375,0.5199560248194464,0,0
Diaspore mass,Heliotropium tenellum,50,1.9164,1.9164,0,0,0
Diaspore mass,Hexasepalum teres,50,6.3945,6.3945,0,0,0
Diaspore mass,Hypericum punctatum,50,0.0562,0.0562,0,0,0
Diaspore mass,Hypericum sphaerocarpum,50,0.6596,0.6596,0,0,0
Diaspore mass,Hypoxis hirsuta,51,0.8517189539215686,0.862933333,0.08008668555916597,0,0
Diaspore mass,Ipomoea pandurata,50,26.91093333,26.91093333,0,0,0
Diaspore mass,Ivesia gordonii,10,1.1434,1.0625,0.3166246287886581,0.23924999999999985,1
Diaspore mass,Juniperus communis,25,9.514904,9.52,2.443399744972839,2,6
Diaspore mass,Juniperus sabina,20,18.9305,18.875,4.025451233287884,5.044999999999998,1
Diaspore mass,Lavandula stoechas,12,0.7084333333333334,0.70565,0.08483416264403834,0.14175000000000004,0
Diaspore mass,Lespedeza capitata,53,3.1066415094339623,3.133,0.196822654881497,0,0
Diaspore mass,Lespedeza virginica,50,3.438348901,3.438348901,0,0,0
Diaspore mass,Leucospora multifida,50,3.0435,3.0435,0,0,0
Diaspore mass,Liatris aspera,51,1.1293464049019608,1.103933333,0.18148563413726623,0,0
Diaspore mass,Liatris cylindracea,51,1.714921568627451,1.6556,0.4236407366218341,0,0
Diaspore mass,Liatris mucronata,50,2.860066667,2.860066667,0,0,0
Diaspore mass,Liatris squarrosa,50,2.731283333,2.731283333,0,0,0
Diaspore mass,Linum sulcatum,50,0.4849,0.4849,0,0,0
Diaspore mass,Lithospermum canescens,51,2.902490196078431,2.9042,0.012210442332724206,0,0
Diaspore mass,Lithospermum incisum,50,10.9242,10.9242,0,0,0
Diaspore mass,Lithospermum molle,50,15.5564,15.5564,0,0,0
Diaspore mass,Lobelia spicata,50,0.0202,0.0202,0,0,0
Diaspore mass,Lupinus argenteus,15,12.044666666666666,8.4,6.748325090258287,10.5665,1
Diaspore mass,Luzula confusa,29,0.20327586206896553,0.2,0.04472686676749712,0.06,2
Diaspore mass,Lysimachia lanceolata,51,0.33287581666666666,0.324533333,0.05957725002178773,0,0
Diaspore mass,Mimosa quadrivalvis,50,10.36586667,10.36586667,0,0,0
Diaspore mass,Mirabilis albida,50,5.182866667,5.182866667,0,0,0
Diaspore mass,Monarda bradburiana,50,0.2618,0.2618,0,0,0
Diaspore mass,Mononeuria patula,50,0.028033333,0.028033333,0,0,0
Diaspore mass,Myrtus communis,13,5.529230769230769,4.53,2.320357233769769,0.8600000000000003,4
Diaspore mass,Nothoscordum bivalve,50,1.428466667,1.428466667,0,0,0
Diaspore mass,Oenothera macrocarpa,50,6.382933333,6.382933333,0,0,0
Diaspore mass,Oxyria digyna,31,0.7987258096774194,0.7466667,0.19027759211495077,0.2725000000000001,1
Diaspore mass,Palafoxia callosa,50,1.4526,1.4526,0,0,0
