resolution_id,repeat_id,fold_id,metric_name,component,metric_full,metric_reduced,delta_metric,delta_metric_clamped,share,defined
genus,1,1,AUC,Abiotic,0.5337766783393718,0.5436959676595415,-0.009919289320169722,0,0,TRUE
genus,1,1,AUC,Spatial,0.5337766783393718,0.5324889036140971,0.0012877747252747485,0.0012877747252747485,100,TRUE
genus,1,1,AUC,Associations,0.5337766783393718,0.5337766783393718,0,0,0,TRUE
genus,1,2,AUC,Abiotic,0.4943067124810546,0.5030549766980688,-0.008748264217014134,0,0,TRUE
genus,1,2,AUC,Spatial,0.4943067124810546,0.4923243901862323,0.001982322294822314,0.001982322294822314,100,TRUE
genus,1,2,AUC,Associations,0.4943067124810546,0.4943067124810546,0,0,0,TRUE
genus,1,3,AUC,Abiotic,0.5275302154183826,0.4705015377798572,0.05702867763852543,0.05702867763852543,100,TRUE
genus,1,3,AUC,Spatial,0.5275302154183826,0.5275302154183826,0,0,0,TRUE
genus,1,3,AUC,Associations,0.5275302154183826,0.5275302154183826,0,0,0,TRUE
genus,1,4,AUC,Abiotic,0.4585599109181733,0.4770759735446268,-0.0185160626264535,0,NA,FALSE
genus,1,4,AUC,Spatial,0.4585599109181733,0.4589538184811985,-3.939075630252087e-4,0,NA,FALSE
genus,1,4,AUC,Associations,0.4585599109181733,0.4585599109181733,0,0,NA,FALSE
genus,1,5,AUC,Abiotic,0.5108520011990838,0.5157525581501197,-0.0049005569510358615,0,NA,FALSE
genus,1,5,AUC,Spatial,0.5108520011990838,0.511394535921306,-5.425347222222099e-4,0,NA,FALSE
genus,1,5,AUC,Associations,0.5108520011990838,0.5108520011990838,0,0,NA,FALSE
