taxon_name,trait_domain_name,trait_value_raw,trait_value_prepared,transformation,lwr_25_prepared,upr_75_prepared,iqr_prepared,outlier_lwr,outlier_upr,anomaly_direction
Cladium,Leaf mass per area,111.51114999999999,2.047318294661042,log10,-2.170865407462239,-1.3378752912794396,0.8329901161827995,-4.669835756010638,1.161095057268959,high
Pseudorchis,Leaf mass per area,17.377727356108768,1.2399929791760678,log10,-2.170865407462239,-1.3378752912794396,0.8329901161827995,-4.669835756010638,1.161095057268959,high
Corydalis,Leaf nitrogen content per unit mass,56.653,56.653,identity,2.1825,12.95209408,10.769594080000001,-30.12628224,45.26087632,high
Hedysarum,Leaf nitrogen content per unit mass,48.96557808,48.96557808,identity,2.1825,12.95209408,10.769594080000001,-30.12628224,45.26087632,high
