trait_domain_name,transformation,n_taxa,n_present,n_missing,missing_fraction,value_minimum_raw,value_median_raw,value_maximum_raw,value_minimum_prepared,value_median_prepared,value_maximum_prepared,transformed_range,flag_excessive_missingness,flag_excessive_transformed_range
Diaspore mass,log10,565,365,200,0.35398230088495575,1e-4,1.004,8950.27,-4,0.0017337128090005314,3.9518361367395354,7.951836136739535,FALSE,TRUE
Leaf Area,log10,565,483,82,0.14513274336283186,0.0013,213.16500000000002,154882,-2.886056647693163,2.3287158985033005,5.190000948069662,8.076057595762826,FALSE,TRUE
Leaf mass per area,log10,565,530,35,0.061946902654867256,6.117364745656519e-5,0.022913517403219792,111.51114999999999,-4.213435624079057,-1.6399087580906853,2.047318294661042,6.260753918740099,FALSE,TRUE
Leaf nitrogen content per unit mass,identity,565,421,144,0.25486725663716814,0.0235348144448153,2.8,56.653,0.0235348144448153,2.8,56.653,56.62946518555518,FALSE,TRUE
Plant heigh,log10,565,517,48,0.08495575221238938,0.05,20,300,-1.3010299956639813,1.3010299956639813,2.4771212547196626,3.778151250383644,FALSE,FALSE
Stem specific density,identity,565,195,370,0.6548672566371682,3.3479500000000004e-4,0.314819277108424,0.83,3.3479500000000004e-4,0.314819277108424,0.83,0.829665205,TRUE,FALSE
