trait_domain_name,transformation,n_taxa,n_present,n_missing,missing_fraction,value_minimum_raw,value_median_raw,value_maximum_raw,value_minimum_prepared,value_median_prepared,value_maximum_prepared,transformed_range,flag_excessive_missingness,flag_excessive_transformed_range
Diaspore mass,log10,58,52,6,0.10344827586206896,0.034,12.95,35714.28,-1.4685210829577449,1.1072894767852497,4.552841899170658,6.0213629821284025,FALSE,TRUE
Leaf Area,log10,58,55,3,0.05172413793103448,0.9221999999999999,149.5398387,35910,-0.03517488211661128,2.1747569078625015,4.555215405126073,4.590390287242684,FALSE,TRUE
Leaf mass per area,log10,58,56,2,0.034482758620689655,0.0027307408721600566,0.009475258436872486,0.2770083102493075,-2.563719509355083,-2.024741737421765,-0.557507201905658,2.0062123074494247,FALSE,FALSE
Leaf nitrogen content per unit mass,identity,58,55,3,0.05172413793103448,1.1148,2.19666666665,22.827,1.1148,2.19666666665,22.827,21.712200000000003,FALSE,TRUE
Plant heigh,log10,58,58,0,0,0.255,13.2588,150,-0.5934598195660449,1.1224755287004498,2.1760912590556813,2.7695510786217263,FALSE,FALSE
Stem specific density,identity,58,53,5,0.08620689655172414,3.3479500000000004e-4,0.540540541,0.83,3.3479500000000004e-4,0.540540541,0.83,0.829665205,FALSE,FALSE
