taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Arctostaphylos uva-ursi,Leaf mass per area,258,30,291.5450966254451,2.4647057416019633,16,0.06378157330342159,2.1877086612560417e-4,3.660010513798079,1e-4,1.1877086612560417,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,6.778044172789567e-5,1e-4,1e-4,global_log_outlier,medium
Arisaema triphyllum,Leaf mass per area,468,9,555.5555555555555,2.744727494896694,5,0.010933148026514702,1.9679666447726465e-5,4.705982266734933,1e-5,0.9679666447726464,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.556989977917445e-5,1e-4,1e-4,global_log_outlier,medium
Arnica mollis,Leaf mass per area,258,3,159.5094991279559,2.2027865513180465,4,0.004155166264449357,2.6049647746158053e-5,4.584198145029874,1e-5,1.604964774615805,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.238863863337863e-4,1e-4,1e-4,global_log_outlier,medium
Arnica montana,Leaf mass per area,346,1,71.42857142857143,1.853871964321762,6,0.04397537379067722,6.156552330694811e-4,3.210662424673478,0.001,0.3843447669305189,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,0.00027665477606024573,1e-4,1e-4,global_log_outlier,medium
Artemisia tridentata,Leaf mass per area,258,29,122.33333333333329,2.0875448095324267,6,0.01672194582642344,1.366916552568674e-4,3.8642579974037528,1e-4,0.36691655256867406,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.6153451307527003e-4,1e-4,1e-4,global_log_outlier,medium
Athyrium crassicaule,Leaf mass per area,468,7,526.3157894736842,2.721246399047171,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.754600532246192e-5,1e-4,1e-4,global_log_outlier,medium
Baccharis sergiloides,Leaf mass per area,211,11,77.07360491239838,1.8869056724276663,3,0.0097369562812375,1.2633321475366948e-4,3.898482452391573,1e-4,0.2633321475366947,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.563919963953295e-4,1e-4,1e-4,global_log_outlier,medium
Bahiopsis deltoidea,Leaf mass per area,211,11,750.1405698198225,2.8751426540273215,2,0.0013330834782605545,1.7771115600116788e-6,5.750285308054746,1e-6,0.7771115600116789,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.634313651056246e-5,1e-5,1e-5,global_log_outlier,medium
Betula alleghaniensis,Leaf mass per area,346,2,64.58333333333334,1.8101204564586855,8,0.01615508885298869,2.501433112720829e-4,3.6018111054788036,1e-4,1.5014331127208291,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.059776325090275e-4,1e-4,1e-4,global_log_outlier,medium
Betula alleghaniensis,Leaf mass per area,468,10,281.74603174603175,2.4498578079375313,8,0.01615508885298869,5.7339188604973945e-5,4.241548456957649,1e-4,0.4266081139502606,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,7.013783055048483e-5,1e-4,1e-4,global_log_outlier,medium
Betula papyrifera,Leaf mass per area,468,5,106.38297872340425,2.0268721464003012,12,0.022170584405379314,2.0840349341056557e-4,3.6810950053522844,1e-4,1.0840349341056557,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.8575392106902214e-4,1e-4,1e-4,global_log_outlier,medium
Brickellia coulteri,Leaf mass per area,211,11,804.5866034031686,2.9055727971682326,2,0.0012428742857191848,1.5447364900958903e-6,5.811145594334755,1e-6,0.5447364900958903,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.4560507656094627e-5,1e-5,1e-5,global_log_outlier,medium
Bromus erectus,Leaf mass per area,292,1,80.59999999999974,1.9063350418050893,14,0.05737234652897304,7.11815713758973e-4,3.1476324289150823,0.001,0.288184286241027,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.4517438502326004e-4,1e-4,1e-4,global_log_outlier,medium
Bromus inermis,Leaf mass per area,258,19,217.04000000000005,2.3365397807535397,13,0.0592741828568636,2.7310257490261515e-4,3.5636742051670205,1e-4,1.7310257490261516,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,9.104798854070535e-5,1e-4,1e-4,global_log_outlier,medium
Bromus inermis,Leaf mass per area,523,10,178.16506300116936,2.2508225457537927,13,0.0592741828568636,3.326925147859913e-4,3.4779569701672735,0.001,0.6673074852140087,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.1091431226752349e-4,1e-4,1e-4,global_log_outlier,medium
Calliandra eriophylla,Leaf mass per area,211,11,3212.797463589673,3.5068833482661566,2,4.084507042201746e-4,1.2713241617285478e-7,6.89574369909178,1e-7,0.2713241617285479,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,6.150731770933229e-6,1e-5,1e-5,global_log_outlier,medium
Cardamine diphylla,Leaf mass per area,468,10,555.5555555555555,2.744727494896694,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.556989977917445e-5,1e-4,1e-4,global_log_outlier,medium
