taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Eriogonum fasciculatum,Leaf mass per area,211,11,99.29902603119952,1.9969449887637596,2,0.010070592230056836,1.0141682786387734e-4,3.9938899775266465,1e-4,0.014168278638773325,TRUE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.9900553129963044e-4,1e-4,1e-4,cross_source_power_of_ten_and_global_outlier,high
Tetradymia stenolepis,Leaf mass per area,211,11,98.58594795555683,1.9938150167640365,2,0.010143433427716403,1.0288924170297705e-4,3.987630033530025,1e-4,0.028892417029770422,TRUE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.0044495024567905e-4,1e-4,1e-4,cross_source_power_of_ten_and_global_outlier,high
Helianthemum syriacum,Stem specific density,137,10,0.0056912097112451,-2.244795411095503,2,0.57,100.1544537840089,2.0006702667679943,100,0.0015445378400889354,TRUE,1179,-0.28565356967214117,-0.4373839670724273,-0.19959512426687787,0.23778884280554946,-1.1507504954890757,0.5137714041497705,TRUE,91.02105006136729,100,100,cross_source_power_of_ten_and_global_outlier,high
Salvia rosmarinus,Stem specific density,137,120,0.00576782314094715,-2.2389880648781406,4,0.59893608288046,103.84092373229514,2.0163685428042735,100,0.03840923732295139,TRUE,1179,-0.28565356967214117,-0.4373839670724273,-0.19959512426687787,0.23778884280554946,-1.1507504954890757,0.5137714041497705,TRUE,89.81202637082151,100,100,cross_source_power_of_ten_and_global_outlier,high
