route_id,repeat_id,fold_id,variant,status,error_message,warning_text,converged,linear_trend_slope,median_diff,epochs_run,early_stopping_triggered,loss,brier,auc,auc_macro,n_train_samples,n_test_samples,n_taxa_raw,n_taxa_retained,n_taxa_dropped,age_scale_mode,age_scale_value
pooled_spatiotemporal_age_z_interaction,1,fold_001,full,ok,NA,NA,TRUE,0,0,401,TRUE,1.8432481222396546,0.14498940322807477,0.855740307486631,0.7292863205222585,290,145,9,8,1,z_score,3856.4509508464453
pooled_spatiotemporal_age_z_interaction,1,fold_001,no_abiotic,ok,NA,NA,TRUE,0,0.01,234,TRUE,2.149151817032358,0.18234741707320337,0.825730221065699,0.6345878763555587,290,145,9,8,1,z_score,3856.4509508464453
pooled_spatiotemporal_age_z_interaction,1,fold_001,no_spatial,ok,NA,NA,TRUE,0,0.01,409,TRUE,1.9968855063920068,0.15906631596116153,0.8436574914056532,0.6869210190965063,290,145,9,8,1,z_score,3856.4509508464453
pooled_spatiotemporal_age_z_interaction,1,fold_001,no_associations,ok,NA,NA,TRUE,0,0,448,TRUE,1.6568853179678398,0.14173088317900556,0.8676798844537815,0.7454367956223502,290,145,9,8,1,z_score,3856.4509508464453
