finding_type,severity,current_path,symbol,owning_issue,message
function_naming,report_only,R/Functions/Modelling/Diagnostics/check_cuda_gpu_runtime.R,check_cuda_gpu_runtime,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/check_torch_cuda_details.R,.check_torch_cuda_details,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Diagnostics/verify_sjsdm_setup.R,verify_sjsdm_setup,#154,Review leading verb `verify` against version 1.
function_naming,report_only,R/Functions/Modelling/Evaluation/read_spatial_model_results.R,read_spatial_model_results,#154,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Fit_inputs/apply_scale_attributes.R,apply_scale_attributes,#154,Review leading verb `apply` against version 1.
function_naming,report_only,R/Functions/Modelling/Fit_inputs/assemble_data_to_fit.R,assemble_data_to_fit,#154,Review leading verb `assemble` against version 1.
function_naming,report_only,R/Functions/Modelling/Fit_inputs/make_env_formula.R,make_env_formula,#154,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Modelling/Spatial_effects/compare_spatial_mev_subspaces.R,compare_spatial_mev_subspaces,#154,Review leading verb `compare` against version 1.
function_naming,report_only,R/Functions/Modelling/Tuning/check_target_succeeded.R,check_target_succeeded,#154,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Modelling/Tuning/coerce_null_to_na_integer.R,coerce_null_to_na_integer,#154,Review leading verb `coerce` against version 1.
function_naming,report_only,R/Functions/Modelling/Tuning/read_model_evaluation_target.R,read_model_evaluation_target,#154,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Tuning/read_targets_store_meta.R,read_targets_store_meta,#154,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Modelling/Variance_partitioning/get_anova.R,get_anova,#154,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Modelling/Variance_partitioning/recalculate_anova_components.R,recalculate_anova_components,#154,Review leading verb `recalculate` against version 1.
function_naming,report_only,R/Functions/Prediction/Inference/assert_prediction_probabilities.R,assert_prediction_probabilities,#155,Review leading verb `assert` against version 1.
function_naming,report_only,R/Functions/Prediction/Inputs/read_spatial_resolution_prediction_inputs.R,read_spatial_resolution_prediction_inputs,#155,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Animations/format_age_label.R,format_age_label,#155,Review leading verb `format` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Design_tokens/flatten_design_tokens.R,flatten_design_tokens,#155,Review leading verb `flatten` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Design_tokens/flatten_token_node.R,flatten_token_node,#155,Review leading verb `flatten` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Design_tokens/format_scss_value.R,format_scss_value,#155,Review leading verb `format` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Design_tokens/format_token_name.R,format_token_name,#155,Review leading verb `format` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Design_tokens/write_oracle_generated_scss.R,write_oracle_generated_scss,#155,Review leading verb `write` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Formatting/format_count.R,format_count,#155,Review leading verb `format` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Oracle_palettes/get_oracle_continuous_palette.R,get_oracle_continuous_palette,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Oracle_palettes/get_oracle_discrete_palette.R,get_oracle_discrete_palette,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Oracle_palettes/get_oracle_palette_values.R,get_oracle_palette_values,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Oracle_theme/create_oracle_theme.R,create_oracle_theme,#155,Review leading verb `create` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Panels_and_animation/add_panel.R,add_panel,#155,Review leading verb `add` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Panels_and_animation/generate_qr_code.R,generate_qr_code,#155,Review leading verb `generate` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Panels_and_animation/node_box.R,node_box,#155,Review leading verb `node` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Paths_and_config/get_presentation_dir.R,get_presentation_dir,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Targets/count_successful_targets.R,count_successful_targets,#155,Review leading verb `count` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Targets/read_target_meta_or_empty.R,read_target_meta_or_empty,#155,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Presentation/IAVS/Targets/read_target_or_null.R,read_target_or_null,#155,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Traits/Classification/get_functional_type_classification.R,get_functional_type_classification,#153,Review leading verb `get` against version 1.
