candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,n_source_rules,n_proposed_source_rules,n_approved_source_rules,proposed_source_rule_ids,approved_source_rule_ids,investigation_outcome
643097356790ebfcf64af7548cfcca484aa745aced913809264dcbd0afa58645,classified,Pinus sylvestris,Leaf Area,116,4,18,0,22,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
82bd4ce7e1b476b629991db22d11e42fdf3278dd9db893ebf7461729f5048158,classified,Pinus taeda,Leaf Area,20,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
49a841609cc3d572f994a956f112d33c00a1ab432aec2feccbcf23a59ca34cf7,classified,Pistacia lentiscus,Leaf Area,189,4,30,25,22,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
fd5914be027e50c6c2d39682a025e4b5aa2fcc72ed185a8c13c4b4af893d83f8,classified,Pistacia terebinthus,Leaf Area,33,3,4,2,5,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
7c7351b6ff36c64ceb060d34993c9ad7795d67338d11af0c272516cf34ac41bd,classified,Pityopsis graminifolia,Leaf Area,10,1,2,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
3d371f6c225ef5adf2f73cbdcd7e089711af50542c94a97f079e430d4f0b9bfb,classified,Plantago afra,Leaf Area,13,2,4,0,4,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
37e009fe16602f02d084b633ea1de89ddbbcab38d8958fdc4a6930619d18103a,classified,Plantago alpina,Leaf Area,10,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
da5e9344247fb9338a697107fe4abba2514c2cc29ca703f890a3c1d37c9e0416,classified,Plantago coronopus,Leaf Area,13,3,4,0,1,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
b47d0610e9bbe882a057782eac3fcf4315c726e45de95580d917c4aebd71ded8,classified,Plantago lagopus,Leaf Area,313,2,3,0,42,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
758ca65af4a5ad469b3676df997ceba849c2671b90fa4d126e78d27f8de977e3,classified,Plantago lanceolata,Leaf Area,189,5,82,41,28,0,,domain_outlier;taxon_outlier,3,0,3,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6;97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82;e4504212b94c4e98f98f76ddea21e6c14b670b0c7aae7732d5367fd7d08e2017,approve_none_after_source_rule
8d8164acf988dd1d8d1c65ad59e7d2068e287190c459207978db17ec108d444d,classified,Plantago macrorhiza,Leaf Area,58,1,1,0,6,0,,taxon_outlier,0,0,0,,,approve_none_grouped
