route_id,repeat_id,fold_id,component,loss_full,loss_reduced,delta_loss,delta_loss_clamped,share,defined
pooled_spatiotemporal_age_z_interaction,repeat_002,fold_003,Spatial,1.806819067371919,2.048212388050823,0.24139332067890384,0.24139332067890384,32.830957334673734,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_002,fold_003,Associations,1.806819067371919,1.72412344609461,-0.08269562127730912,0,0,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_001,Abiotic,1.7658059534142243,2.4010162587327124,0.6352103053184881,0.6352103053184881,73.78246068531065,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_001,Spatial,1.7658059534142243,1.991518826068509,0.22571287265428475,0.22571287265428475,26.217539314689358,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_001,Associations,1.7658059534142243,1.5678923241083782,-0.1979136293058461,0,0,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_002,Abiotic,1.6654504926382068,2.2602009621714996,0.5947504695332928,0.5947504695332928,86.03018952097995,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_002,Spatial,1.6654504926382068,1.7620276522138243,0.09657715957561752,0.09657715957561752,13.969810479020065,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_002,Associations,1.6654504926382068,1.570919627802437,-0.09453086483576967,0,0,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_003,Abiotic,1.9437394874838616,2.3880714882587117,0.44433200077485013,0.44433200077485013,69.11931743254107,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_003,Spatial,1.9437394874838616,2.1422552712064618,0.19851578372260015,0.19851578372260015,30.88068256745894,TRUE
pooled_spatiotemporal_age_z_interaction,repeat_003,fold_003,Associations,1.9437394874838616,1.8715010396574785,-0.07223844782638311,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_001,Abiotic,1.850463084121574,2.149151817032358,0.2986887329107841,0.2986887329107841,56.1151208451308,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_001,Spatial,1.850463084121574,2.084052867967654,0.2335897838460801,0.2335897838460801,43.8848791548692,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_001,Associations,1.850463084121574,1.6293287757181845,-0.22113430840338943,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_002,Abiotic,1.7448637418160726,2.3741337974049563,0.6292700555888837,0.6292700555888837,61.845879297163705,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_002,Spatial,1.7448637418160726,2.1330746610958613,0.3882109192797887,0.3882109192797887,38.154120702836295,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_002,Associations,1.7448637418160726,1.5951762871598132,-0.14968745465625943,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_003,Abiotic,1.863456581176587,2.59055028742056,0.7270937062439731,0.7270937062439731,58.41773383178097,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_003,Spatial,1.863456581176587,2.381008393599435,0.5175518124228478,0.5175518124228478,41.582266168219036,TRUE
pooled_spatiotemporal_age_z_main,repeat_001,fold_003,Associations,1.863456581176587,1.80523067822083,-0.058225902955757025,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_001,Abiotic,1.907802020051576,2.2513437701916907,0.3435417501401148,0.3435417501401148,60.729306810188056,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_001,Spatial,1.907802020051576,2.1299537845993015,0.22215176454772556,0.22215176454772556,39.270693189811944,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_001,Associations,1.907802020051576,1.6749728784470466,-0.2328291416045294,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_002,Abiotic,1.6684753955792235,2.231574007572937,0.5630986119937136,0.5630986119937136,54.793846350163165,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_002,Spatial,1.6684753955792235,2.1330443950088807,0.4645689994296571,0.4645689994296571,45.206153649836835,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_002,Associations,1.6684753955792235,1.6165762841779845,-0.05189911140123904,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_003,Abiotic,1.8363925572539064,2.300687037486876,0.4642944802329698,0.4642944802329698,67.68051245990274,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_003,Spatial,1.8363925572539064,2.058107185637011,0.2217146283831044,0.2217146283831044,32.31948754009726,TRUE
pooled_spatiotemporal_age_z_main,repeat_002,fold_003,Associations,1.8363925572539064,1.7462730936449262,-0.09011946360898015,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_001,Abiotic,1.8235048519745565,2.4010162587327124,0.5775114067581559,0.5775114067581559,59.608526399119256,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_001,Spatial,1.8235048519745565,2.214833712951469,0.39132886097691255,0.39132886097691255,40.39147360088075,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_001,Associations,1.8235048519745565,1.6738669246163236,-0.1496379273582329,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_002,Abiotic,1.6320106778624903,2.2602009621714996,0.6281902843090093,0.6281902843090093,74.51487322175487,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_002,Spatial,1.6320106778624903,1.8468605238634752,0.2148498460009849,0.2148498460009849,25.48512677824512,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_002,Associations,1.6320106778624903,1.5572200404506873,-0.07479063741180303,0,0,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_003,Abiotic,1.9270788994878223,2.3880714882587117,0.46099258877088944,0.46099258877088944,60.034290877159535,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_003,Spatial,1.9270788994878223,2.23396843614115,0.3068895366533275,0.3068895366533275,39.965709122840465,TRUE
pooled_spatiotemporal_age_z_main,repeat_003,fold_003,Associations,1.9270788994878223,1.866019746341796,-0.06105915314602628,0,0,TRUE
