profile_id,profile_role,profile_status,profile_selectable,pipeline_id,target_store,profile_owner_issue,pipeline_script,manifest_target_count,target_name,legacy_target_name,target_owner_issue,migration_status
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_abiotic_selected,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_abiotic_wide_family,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_abiotic_wide_ft_modern,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_abiotic_wide_genus,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_aux_classification_table,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_classification_table,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_classification_table_for_functional_types,data_classification_table_for_ft,#156,migrated_in_issue_156
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_combined_classification_table,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_analysis,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_analysis_subset_family,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_analysis_subset_ft_modern,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_analysis_subset_genus,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_by_resolution_family,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_by_resolution_ft_modern,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_by_resolution_genus,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_classified,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_classified_taxa_classification,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_filtered_cores_family,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_filtered_cores_ft_modern,,,unchanged
project_cz_modern,smoke,active,TRUE,modern_spatial_smoke,Data/targets/cz_modern,,R/Pipelines/pipeline_modern_spatial_resolution_test.R,262,data_community_filtered_cores_genus,,,unchanged
